Mã,Ngày,KL mua,GT mua,KL bán,GT bán,KL giao dịch ròng,GT giao dịch ròng
HPG,2024-03-25,1665400,50.76,1888900,57.59,-223500,-6.83
HPG,2024-03-22,1817300,55.5,2313100,70.53,-495800,-15.03
HPG,2024-03-21,2327100,70.52,1183100,35.84,1144000,34.69
HPG,2024-03-20,1805800,54.06,1604700,47.93,201100,6.14
HPG,2024-03-19,1218300,36.65,1952400,58.58,-734100,-21.93
HPG,2024-03-18,5607800,164.72,1633600,48.77,3974200,115.95
HPG,2024-03-15,2002600,60.56,1681600,50.67,321000,9.89
HPG,2024-03-14,1889300,57.84,1596700,48.88,292600,8.96
HPG,2024-03-13,1750300,53.73,1503600,45.84,246700,7.89
HPG,2024-03-12,2063200,61.93,1685900,50.73,377300,11.2
HPG,2024-03-11,1461700,44.13,572000,17.22,889700,26.91
HPG,2024-03-08,2576500,79.05,1301700,39.85,1274800,39.21
HPG,2024-03-07,1970000,60.91,1508700,46.61,461300,14.29
HPG,2024-03-06,2322900,71.44,2050500,63.15,272400,8.29
HPG,2024-03-05,1760000,54.46,2881500,89.51,-1121500,-35.05
HPG,2024-03-04,2140300,66.4,1182500,36.66,957800,29.74
HPG,2024-03-01,1404800,43.33,429900,13.26,974900,30.07
HPG,2024-02-29,1343900,41.28,1378100,42.39,-34200,-1.11
HPG,2024-02-28,611200,18.56,2080000,63.22,-1468800,-44.66
HPG,2024-02-27,1060000,31.72,4348000,130.01,-3288000,-98.29
HPG,2024-02-26,1110800,31.59,269300,7.7,841500,23.88
HPG,2024-02-23,2030200,58.08,936600,26.78,1093600,31.29
HPG,2024-02-22,1080000,30.98,524000,15.03,556000,15.95
HPG,2024-02-21,870900,25.25,1640000,47.44,-769100,-22.19
HPG,2024-02-20,499000,14.53,1923300,56.09,-1424300,-41.56
HPG,2024-02-19,715100,20.65,2515300,72.83,-1800200,-52.19
HPG,2024-02-16,717000,20.56,785500,22.5,-68500,-1.94
HPG,2024-02-15,826400,23.7,2836100,81.36,-2009700,-57.66
HPG,2024-02-07,633100,17.86,894700,25.2,-261600,-7.34
HPG,2024-02-06,707000,19.9,526300,14.77,180700,5.13
HPG,2024-02-05,1548400,43.52,869300,24.43,679100,19.09
HPG,2024-02-02,892800,24.96,1826100,51.08,-933300,-26.12
HPG,2024-02-01,498800,13.92,565500,15.75,-66700,-1.82
HPG,2024-01-31,1326300,37.01,735100,20.48,591200,16.53
HPG,2024-01-30,1541300,43.12,1565300,43.82,-24000,-0.7
HPG,2024-01-29,1205000,33.9,1124000,31.5,81000,2.4
HPG,2024-01-26,1533600,43.46,1205000,34.17,328600,9.29
HPG,2024-01-25,1320900,37.28,1382500,38.98,-61600,-1.7
HPG,2024-01-24,800800,22.72,1532000,43.38,-731200,-20.66
HPG,2024-01-23,522600,14.82,3080100,87.17,-2557500,-72.35
HPG,2024-01-22,2316400,65.56,1674000,47.38,642400,18.18
HPG,2024-01-19,1896900,52.67,418900,11.61,1478000,41.07
HPG,2024-01-18,1261800,34.96,340300,9.42,921500,25.54
HPG,2024-01-17,1884900,52.44,2752100,76.41,-867200,-23.97
HPG,2024-01-16,1269800,34.87,659700,18,610100,16.87
HPG,2024-01-15,1389300,37.93,348600,9.5,1040700,28.43
HPG,2024-01-12,1880000,51.27,2192700,59.78,-312700,-8.51
HPG,2024-01-11,1355600,37.34,581000,15.99,774600,21.35
HPG,2024-01-10,1408800,38.67,1372600,37.68,36200,0.99
HPG,2024-01-09,1407100,39.05,750700,20.8,656400,18.25
HPG,2024-01-08,1142100,32.06,1017100,28.54,125000,3.51
HPG,2024-01-05,1194200,33.13,794600,22.01,399600,11.12
HPG,2024-01-04,4642100,129.7,1024600,28.57,3617500,101.13
HPG,2024-01-03,1198400,33.07,1368500,37.76,-170100,-4.69
HPG,2024-01-02,959900,26.68,1450900,40.22,-491000,-13.54
HPG,2023-12-29,3059500,86.9,3407600,95.22,-348100,-8.32
HPG,2023-12-28,2018100,56.33,2033200,56.56,-15100,-0.23
HPG,2023-12-27,1347300,37.54,511600,14.25,835700,23.29
HPG,2023-12-26,199200,5.52,1978100,54.65,-1778900,-49.14
HPG,2023-12-25,1706900,46.79,914900,25.05,792000,21.73
HPG,2023-12-22,516900,14.06,1122100,30.52,-605200,-16.47
HPG,2023-12-21,930900,25.31,1462500,39.63,-531600,-14.31
HPG,2023-12-20,1011500,27.59,1168000,31.82,-156500,-4.23
HPG,2023-12-19,1263600,33.93,1009300,26.98,254300,6.95
HPG,2023-12-18,817400,21.88,1257000,33.68,-439600,-11.79
HPG,2023-12-15,2088600,56.31,1241100,33.5,847500,22.81
HPG,2023-12-14,2110100,57.59,1286400,35.23,823700,22.37
HPG,2023-12-13,2715600,75.38,717200,19.93,1998400,55.45
HPG,2023-12-12,3409000,95.27,3003100,84.01,405900,11.26
HPG,2023-12-11,901400,24.82,1223700,33.72,-322300,-8.9
HPG,2023-12-08,2062700,58.02,1531300,42.87,531400,15.14
HPG,2023-12-07,3891200,107.15,3216200,88.88,675000,18.27
HPG,2023-12-06,680200,18.62,880600,24.11,-200400,-5.49
HPG,2023-12-05,339300,9.25,1461700,39.9,-1122400,-30.65
HPG,2023-12-04,5825400,159.87,807100,22.1,5018300,137.77
HPG,2023-12-01,1034200,27.73,2013700,53.85,-979500,-26.13
HPG,2023-11-30,793700,21.48,1438000,38.74,-644300,-17.26
HPG,2023-11-29,2091200,56.34,2118300,56.95,-27100,-0.61
HPG,2023-11-28,1412600,37.16,1357200,35.94,55400,1.22
HPG,2023-11-27,1027300,27.19,1699800,44.81,-672500,-17.62
HPG,2023-11-24,3247100,84.14,1922600,49.71,1324500,34.42
HPG,2023-11-23,1029600,27.63,1184300,31.7,-154700,-4.07
HPG,2023-11-22,933700,25.31,1286300,34.75,-352600,-9.44
HPG,2023-11-21,1444900,39.31,1294400,35.2,150500,4.11
HPG,2023-11-20,1886800,50.03,1607000,42.42,279800,7.6
HPG,2023-11-17,2282900,61.3,1790000,47.85,492900,13.44
HPG,2023-11-16,1714200,46.19,1158400,31.2,555800,14.99
