Ngày,Thay đổi,KL giao dịch ròng,GT giao dịch ròng,KL mua,GT mua,KL bán,GT bán,Room còn lại,Đang sở hữu
2015-01-05,53(0.00 %),54900,2.93,74900,3.99,20000,1.06,27618933,43.27%
2014-12-31,53(0.95 %),270600,14.28,369350,19.49,98750,5.21,27775613,43.24%
2014-12-30,52.5(1.94 %),163200,8.42,177560,9.16,14360,0.74,28046213,43.18%
2014-12-29,51.5(3.00 %),41320,2.16,153720,7.86,112400,5.7,28209413,43.15%
2014-12-26,50(-1.96 %),63900,3.21,68900,3.47,5000,0.25,28250733,43.14%
2014-12-25,51(-0.97 %),82730,4.22,92000,4.69,9270,0.47,28314633,0%
2014-12-24,51.5(0.00 %),88570,4.56,104060,5.36,15490,0.8,28265543,0%
2014-12-23,51.5(0.00 %),135710,7.02,241620,12.49,105910,5.47,28154243,0%
2014-12-22,51.5(6.63 %),191620,9.7,204680,10.34,13060,0.64,27650513,43.26%
2014-12-19,48.3(0.00 %),155800,7.53,296890,14.37,141090,6.84,27842133,0%
2014-12-18,48.3(1.05 %),-69360,-3.35,146000,7.07,215360,10.42,28102913,0%
2014-12-17,47.8(-4.02 %),-566340,-27.18,58000,2.75,624340,29.93,28242493,0%
2014-12-16,49.8(-4.23 %),-153970,-7.72,100,0,154070,7.73,28268503,0%
2014-12-15,52(-1.89 %),-2960,-0.15,33150,1.74,36110,1.89,27966673,0%
2014-12-12,53(0.95 %),27980,1.47,34400,1.81,6420,0.34,26887623,43.42%
2014-12-11,52.5(-0.94 %),36250,1.91,118170,6.21,81920,4.29,26915603,0%
2014-12-10,53(1.92 %),-47830,-2.33,254100,13.38,301930,15.71,26647803,0%
2014-12-09,52(-4.59 %),-638810,-33.82,119860,6.45,758670,40.27,26713393,0%
2014-12-08,54.5(-1.80 %),-94840,-5.16,520360,28.43,615200,33.59,26610093,0%
2014-12-05,55.5(0.91 %),173650,9.66,546550,30.21,372900,20.56,26757033,0%
2014-12-04,55(0.00 %),-6260,-0.32,273950,15.07,280210,15.38,26981723,0%
2014-12-03,55(1.85 %),531960,26.99,755120,39.13,223160,12.14,26463728,0%
2014-12-02,54(0.00 %),-117150,-6.33,1020,0.05,118170,6.38,26787558,0%
2014-12-01,54(0.93 %),359680,17.52,624680,31.97,265000,14.45,26389987,0%
2014-11-28,53.5(-1.83 %),-687560,-39.03,12680,0.68,700240,39.71,26274927,0%
2014-11-27,54.5(1.87 %),-400990,-21.41,30300,1.62,431290,23.03,26287457,0%
2014-11-26,53.5(-2.73 %),450,-0.8,1392274,71.91,1391824,72.71,26317757,0%
2014-11-25,55(0.00 %),-614560,-35.37,297180,16.35,911740,51.72,26176507,0%
2014-11-24,55(-0.90 %),65350,3.59,65500,3.6,150,0.01,26298177,0%
2014-11-21,55.5(-1.77 %),29720,1.66,29720,1.66,0,0,26362447,0%
2014-11-20,56.5(1.80 %),-267030,-15.83,1211720,67.86,1478750,83.68,26389067,0%
2014-11-19,55.5(-2.63 %),99540,5.57,103050,5.77,3510,0.2,26461266,43.51%
2014-11-18,57(0.00 %),-1230,-0.07,0,0,1230,0.07,26560806,43.49%
