Ngày,Thay đổi,KL giao dịch ròng,GT giao dịch ròng,KL mua,GT mua,KL bán,GT bán,Room còn lại,Đang sở hữu
2024-05-03,125.9(-1.10 %),3100,0.4,3200,0.41,100,0.01,13000,49%
2024-05-02,127.3(3.33 %),-14200,-1.78,5100,0.63,19300,2.41,3200,49%
2024-04-26,123.2(0.00 %),-13000,-1.6,0,0,13000,1.6,5150,49%
2024-04-25,123.2(2.58 %),-3200,-0.4,0,0,3200,0.4,58948,56.34%
2024-04-24,120.1(6.95 %),-3300,-0.41,1800,0.2,5100,0.61,55748,56.34%
2024-04-23,112.3(1.81 %),0,0,0,0,0,0,1800,49%
2024-04-22,110.3(1.19 %),-21900,-2.42,0,0,21900,2.42,0,49%
2024-04-19,109(-2.50 %),-6600,-0.73,0,0,6600,0.73,30548,56.35%
2024-04-17,111.8(-1.06 %),-10900,-1.23,0,0,10900,1.23,23948,56.35%
2024-04-16,113(1.25 %),-7700,-0.87,0,0,7700,0.87,20748,56.35%
2024-04-15,111.6(-3.38 %),100,0.01,100,0.01,0,0,13048,56.35%
2024-04-12,115.5(0.52 %),13100,1.52,13100,1.52,0,0,100,49%
2024-04-11,114.9(0.97 %),0,0,0,0,0,0,13148,49%
2024-04-10,113.8(0.71 %),700,0.08,800,0.09,100,0.01,-685,56.35%
2024-04-09,113(0.36 %),-13100,-1.48,0,0,13100,1.48,15,56.35%
2024-04-08,112.6(-0.97 %),0,0,0,0,0,0,0,56.35%
2024-04-05,113.7(-0.26 %),-800,-0.09,0,0,800,0.09,0,49%
2024-04-04,114(-0.96 %),8400,0.97,8400,0.97,0,0,-1700,56.35%
2024-04-03,115.1(-1.62 %),-4800,-0.56,0,0,4800,0.56,8440,49%
2024-04-02,117(0.17 %),-200,-0.02,0,0,200,0.02,1900,56.35%
2024-04-01,116.8(0.26 %),-6700,-0.77,1700,0.2,8400,0.97,0,49%
2024-03-29,116.5(-0.51 %),-200,-0.02,0,0,200,0.02,1700,49%
2024-03-28,117.1(1.65 %),0,0,0,0,0,0,0,49%
2024-03-27,115.2(0.17 %),-1700,-0.19,0,0,1700,0.19,0,49%
2024-03-26,115(0.88 %),-6200,-0.71,0,0,6200,0.71,13900,56.35%
2024-03-25,114(-0.78 %),-2100,-0.24,0,0,2100,0.24,0,49%
2024-03-22,114.9(-1.12 %),0,0,0,0,0,0,5600,56.35%
2024-03-21,116.2(1.48 %),-200,-0.02,0,0,200,0.02,5600,56.35%
2024-03-20,114.5(2.23 %),0,0,0,0,0,0,5400,56.35%
2024-03-19,112(-0.88 %),6400,0.72,6400,0.72,0,0,0,49%
2024-03-18,113(-2.59 %),100,0.01,100,0.01,0,0,6408,49%
2024-03-15,116(-0.85 %),-5500,-0.64,0,0,5500,0.64,11900,56.35%
2024-03-14,117(0.00 %),-1000,-0.11,5400,0.64,6400,0.75,6400,56.35%
2024-03-13,117(4.56 %),3800,0.43,3900,0.44,100,0.01,5400,49%
2024-03-12,111.9(1.73 %),0,0,0,0,0,0,3900,49%
2024-03-11,110(0.00 %),-5400,-0.6,0,0,5400,0.6,202981,56.33%
2024-03-08,110(-1.17 %),-681,-0.07,238019,16.28,238700,16.35,197581,56.33%
2024-03-07,111.3(2.02 %),-13210,-1.44,1212150,78.38,1225360,79.82,196900,56.33%
2024-03-06,109(-1.54 %),0,0,156700,8.67,156700,8.67,183690,56.33%
2024-03-05,110.7(-0.63 %),-3219,-0.36,1290600,124.79,1293819,125.14,0,49%
2024-03-04,111.4(0.54 %),-1000,-0.11,74500,2.72,75500,2.84,180471,56.33%
2024-03-01,110.8(1.65 %),0,0,942000,104.32,942000,104.32,179471,56.33%
2024-02-29,109(0.46 %),2086,0.23,151386,16.31,149300,16.09,0,49%
